anio,hogar,ingreso,personas_hogar,departamento
2010,62918,51325.1666666667,3,6
2010,25737,17342.0,3,6
2010,16677,162007.0,3,6
2010,54746,64661.0,2,6
2010,47867,34592.04,3,6
2010,37252,26991.5,5,6
2010,64869,17335.0,2,6
2010,3277,14570.0,2,6
2010,63827,53640.5,2,7
2010,7029,14730.5,4,7
2010,3658,38821.5,7,7
2010,61245,11906.35,4,7
2010,16890,16500.0,5,8
2010,69293,33330.5,4,8
2010,56703,26771.5,2,8
2010,67353,27670.0,3,8
2010,4674,12536.5,2,8
2010,30814,6075.0,1,8
2010,11154,43786.14,4,8
2010,65933,12800.0,1,8
2010,25222,5865.24,2,8
2010,37279,20161.0,2,8
2010,5314,17793.2048744496,4,8
2010,1938,13066.44,3,8
2010,44611,39739.0,4,9
2010,32696,27695.5,4,9
2010,10284,13780.0,2,9
2010,57861,108766.666666667,2,9
2010,3002,20628.44,5,9
2010,5754,69681.88,4,9
2010,63119,10573.7916175962,3,9
2010,22946,18670.0,2,9
2010,66339,20891.5,3,9
2010,70592,22817.2948744496,5,10
2010,48848,26984.0,2,10
2010,33071,53636.0,5,10
2010,34694,7238.0,1,10
2010,43708,21300.0,2,10
2010,25455,13685.8816175962,5,10
2010,67250,12663.8333333333,1,10
2010,41857,42086.0,5,10
2010,70847,13075.5,2,10
2010,47876,7047.5,2,10
2010,61383,7112.58333333333,2,10
2010,38211,59290.5,5,10
2010,33831,38276.94,3,10
2010,39809,22377.3816175962,6,10
2010,20973,47661.0,4,10
2010,37338,15700.0,3,10
2010,35291,19606.85,5,10
2010,32490,30979.76,4,10
2010,69229,47130.5,3,10
2010,4546,13890.76,3,10
2010,65518,23128.64,5,10
2010,66096,32188.1666666667,1,10
2010,16395,17606.6066666667,3,10
2010,11537,5805.0,1,10
2010,10639,10405.5,2,10
2010,15080,18299.4616175962,4,10
2010,28652,22121.5,1,10
2010,68168,33661.0,3,10
2010,58383,36068.6,3,10
2010,11545,69290.2916175962,4,10
2010,6878,13931.0,6,11
2010,59482,6330.5,1,11
2010,22925,114640.0,2,11
2010,17158,5800.0,1,11
2010,49907,13230.5,3,11
2010,33216,53347.88,6,11
2010,38108,8700.0,1,11
2010,26340,14000.0,1,11
2010,3737,27530.5,3,11
2010,27868,24708.04,3,11
2010,16324,28471.5,5,11
2010,49216,15290.76,4,11
2010,59124,11560.8816175962,4,11
2010,52948,34361.0,2,11
2010,15444,41738.6666666667,4,11
2010,64854,14484.0,1,11
2010,11249,52169.5,3,12
2010,18523,28270.0,3,12
2010,31132,58711.5,5,12
2010,56487,24865.5,2,12
2010,37374,15297.7948744496,5,12
2010,57471,14291.5,1,12
2010,7831,120648.5,2,12
2010,40183,50194.0,4,12
2010,43936,25871.0,5,13
2010,19832,12845.0,6,13
2010,28995,27426.0,3,13
2010,37541,9033.70487444957,4,13
2010,5518,18507.88,2,13
2010,66943,11820.0,2,13
2010,59552,26822.0,4,13
2010,36976,3200.0,1,13
2010,7175,11300.0,1,13
2010,42003,12416.44,3,13
2010,5758,17083.3333333333,3,13
2010,68411,11885.0,1,14
2010,25443,13330.5,2,14
2010,58620,12395.18,4,14
2010,24469,15661.0,2,14
2010,50376,7186.27,2,14
2010,37410,17970.5,1,14
2010,69394,16910.76,3,14
2010,68902,12428.0,2,14
2010,55225,15351.1816175962,4,14
2010,53867,15000.0,1,14
2010,19970,12000.0,1,14
2010,64798,35321.26,4,14
2010,60052,48661.0,2,14
2010,14533,11660.8816175962,4,14
2010,1350,161814.166666667,5,14
2010,44454,10000.0,2,14
2010,14131,8171.5,1,14
2010,68516,8500.0,2,15
2010,38354,12138.35,3,15
2010,50327,3776.1,1,15
2010,42776,7897.16666666667,1,15
2010,41393,23478.9299993299,10,15
2010,19431,24740.8333333333,2,15
2010,14205,16015.5,4,15
2010,25577,30090.5,3,15
2010,22132,4285.0,1,15
2010,54718,14126.41,4,15
2010,39256,27135.5,4,15
2010,31484,49086.0,5,15
2010,3720,49248.6666666667,5,15
2010,2829,17778.6047929376,6,15
2010,62411,13944.0,2,16
2010,43305,17870.0,2,16
2010,21872,28100.0,2,16
2010,26800,10336.3216175962,4,16
2010,21540,22961.0,2,16
2010,55802,23695.7916175962,4,16
2010,2566,14509.52,4,16
2010,69092,21301.3816175962,4,16
2010,23631,36191.5,3,16
2010,55111,5880.0,1,16
2010,56455,19039.4748744496,5,16
2010,57364,47411.0,3,16
2010,23464,31891.5,3,16
2010,38136,20130.5,2,16
2010,23594,63272.0,4,16
2010,24031,24149.0,2,16
2010,13229,101500.0,1,17
2010,51125,11536.94,2,17
2010,31849,14380.5,5,17
2010,41692,18038.0,4,17
2010,19871,23830.5,2,17
2010,32325,9830.5,1,17
2010,62754,28324.0,2,17
2010,6070,35913.0,2,17
2010,46904,12630.5,2,17
2010,10042,22491.5,4,17
2010,20626,26513.9147929376,6,17
2010,22196,6881.0,1,17
2010,54737,10807.7433333333,3,17
2010,54341,29966.5,1,18
2010,14198,12567.5147929376,6,18
2010,15443,8071.5,1,18
2010,8392,20577.2916175962,6,18
2010,33329,18934.88,3,18
2010,31601,12524.97,2,18
2010,46531,26480.5,3,18
2010,3507,8280.0,2,18
2010,43869,17530.5,2,18
2010,37821,10507.5,1,18
2010,35869,19225.5,1,18
2010,43371,13531.62,2,18
2010,41660,14510.5,2,18
2010,11084,20505.0,3,19
2010,32815,24108.5,3,19
2010,2647,43270.0,5,19
2010,63417,23022.0,4,19
2010,50353,13284.9948744496,5,19
2010,52534,19791.5,3,19
2010,4766,10420.8816175962,3,19
2010,49300,49022.0,4,19
2011,2011027073,10800.0,2,1
2011,2011060029,49417.5381598117,7,1
2011,2011008422,197024.333333333,2,1
2011,2011027630,40000.0,4,1
2011,2011037007,33637.2281598117,4,1
2011,2011052411,34134.8,2,1
2011,2011006117,29124.5,3,1
2011,2011019048,51534.25,3,1
2011,2011044368,118935.533333333,3,1
2011,2011063006,17844.75,2,1
2011,2011058681,15055.03,3,1
2011,2011055463,25126.08,3,1
2011,2011004329,11430.33,1,1
2011,2011048248,49189.6,2,1
2011,2011065518,61080.5,1,1
2011,2011034109,32046.8,3,1
2011,2011047516,69200.55,5,1
2011,2011054215,29344.75,1,1
2011,2011003093,39189.5,3,1
2011,2011029790,23496.46,2,1
2011,2011003621,14652.62,2,1
2011,2011061803,149679.0,4,1
2011,2011065456,7600.0,1,1
2011,2011032321,21622.4355765458,9,1
2011,2011028468,45469.6,7,1
2011,2011031179,15367.4,1,1
2011,2011017285,29092.7466666667,3,1
2011,2011022381,30800.0,2,1
2011,2011059358,159576.46,3,1
2011,2011054971,18734.8,2,1
2011,2011025183,13377.6981598117,4,1
2011,2011058306,28367.4,2,1
2011,2011067827,22952.27,4,1
2011,2011001060,4700.0,1,1
2011,2011052056,79034.25,4,1
2011,2011054543,36802.3481598117,5,1
2011,2011033487,131975.02,3,1
2011,2011065704,65523.41,7,1
2011,2011000903,19834.8,3,1
2011,2011030586,17565.5,3,1
2011,2011063004,224084.496666667,6,1
2011,2011014116,45879.0,5,1
2011,2011005752,13367.4,1,1
2011,2011010916,41734.8,3,1
2011,2011065831,61389.5,3,1
2011,2011062579,16050.7208347482,6,1
2011,2011026322,11217.75,2,1
2011,2011019680,15771.63,3,1
2011,2011037455,29154.35,6,1
2011,2011038697,151498.166666667,4,1
2011,2011039586,26325.36,1,1
2011,2011008257,32935.5333333333,3,1
2011,2011055803,114923.17,5,1
2011,2011026389,18800.0,1,1
2011,2011053009,4500.0,1,1
2011,2011040290,38952.62,3,1
2011,2011055116,27083.3333333333,1,1
